,carat,cut,color,clarity,depth,table,price
17156,1.24,4,H,VS2,61.2,59.0,6850
17157,1.51,2,J,SI1,63.5,58.0,6851
17158,1.51,3,J,SI1,61.2,62.0,6851
17159,1.51,4,J,SI1,59.4,59.0,6851
17160,1.09,5,E,SI2,62.7,55.9,6852
17161,1.06,4,G,VS1,62.2,55.0,6853
17162,1.02,5,E,VS2,62.7,56.0,6854
17163,1.02,4,E,VS2,58.4,57.0,6854
17164,1.02,4,E,VS2,62.1,52.0,6854
17165,2.0,2,G,I1,63.9,58.0,6854
17166,1.26,3,I,VS1,59.2,60.0,6855
17167,1.01,5,G,VS2,61.0,56.0,6855
17168,1.06,5,D,VS2,62.5,54.0,6856
17169,1.08,5,H,VVS2,62.4,55.0,6856
17170,1.25,4,G,SI1,60.7,58.0,6856
17171,1.09,5,G,VS1,62.5,56.0,6856
17172,1.11,5,G,VS2,61.2,56.0,6857
17173,1.02,5,G,VS1,62.1,58.0,6857
17174,1.19,5,D,SI1,62.0,57.0,6857
17175,1.31,2,H,SI1,57.9,62.0,6857
17176,1.72,4,J,SI1,62.0,56.0,6857
17177,1.27,5,H,SI1,60.1,58.0,6858
17178,1.12,5,F,VS2,60.9,55.0,6858
17179,1.0,5,E,VS2,61.7,54.0,6859
17180,1.35,3,E,SI1,62.7,57.0,6860
17181,2.32,1,H,I1,70.5,55.0,6860
17182,1.0,4,E,VS2,61.8,62.0,6860
17183,1.21,2,E,SI1,63.6,58.0,6861
17184,1.02,3,G,VS1,63.3,58.0,6861
17185,1.11,4,F,VS2,62.7,59.0,6863
17186,1.06,3,G,VS1,63.0,56.0,6863
17187,1.02,3,D,SI1,60.3,56.0,6863
17188,1.02,1,F,VVS2,64.8,58.0,6863
17189,1.03,5,G,VS1,62.3,56.0,6864
17190,1.05,3,E,VS2,62.2,57.0,6865
17191,1.0,3,G,VS1,59.4,59.0,6867
17192,1.18,3,I,IF,63.3,58.0,6867
17193,1.24,5,H,SI1,62.3,54.0,6867
17194,1.0,4,D,VS2,59.6,60.0,6868
17195,1.2,3,H,VS2,62.5,59.0,6870
17196,2.72,1,J,I1,68.2,56.0,6870
17197,1.21,2,H,VS1,59.5,65.0,6871
17198,1.0,5,E,VS2,62.9,55.0,6871
17199,1.21,3,H,VS1,63.3,58.0,6871
17200,1.0,5,E,VS2,62.0,56.0,6871
17201,0.9,3,D,VVS2,62.6,59.0,6872
17202,1.2,3,F,SI1,63.5,57.0,6872
17203,1.09,5,F,SI1,61.4,56.0,6872
17204,1.31,5,I,VS2,61.7,55.0,6873
17205,1.26,2,G,SI1,63.2,61.0,6874
17206,1.24,4,F,SI1,61.6,59.0,6874
17207,1.24,4,E,SI1,59.7,59.0,6875
17208,1.0,3,E,VS2,59.0,58.0,6875
17209,1.21,5,H,SI1,62.2,54.0,6876
17210,1.29,4,I,VS1,63.0,57.0,6877
17211,1.0,3,D,VS2,62.6,56.0,6881
17212,1.01,4,G,VS1,61.7,56.0,6882
17213,1.01,2,G,VS1,63.8,57.0,6882
17214,1.01,4,G,VS1,60.9,58.0,6882
17215,1.0,3,F,VS1,62.1,60.0,6883
17216,1.35,3,I,VS2,61.7,59.0,6884
17217,1.08,5,F,SI1,61.8,55.0,6884
17218,1.31,3,I,VS1,62.3,58.0,6885
17219,1.07,4,F,VS1,60.6,61.0,6885
17220,1.21,5,E,SI1,62.0,56.0,6887
17221,1.21,3,H,VS2,60.1,57.0,6887
17222,1.83,1,H,I1,68.0,57.0,6887
17223,1.22,5,I,VS1,62.9,54.0,6887
17224,1.22,5,I,VS1,62.6,57.0,6887
17225,1.22,4,F,SI1,61.8,59.0,6887
17226,1.23,4,G,SI1,61.2,59.0,6888
17227,1.5,4,I,SI1,62.3,58.0,6888
17228,0.97,3,F,VVS2,58.1,60.0,6889
17229,1.41,5,J,SI1,62.3,55.0,6889
17230,1.06,5,G,VS2,61.9,54.0,6890
17231,1.04,4,G,VVS1,58.2,60.0,6890
17232,1.55,4,J,SI2,62.6,57.0,6890
17233,1.13,5,G,VS2,62.7,56.0,6891
17234,0.9,3,E,VVS2,63.7,57.0,6892
17235,1.21,3,H,SI1,60.4,58.0,6892
17236,1.27,4,H,SI1,60.2,58.0,6892
17237,1.42,3,I,VS1,60.1,65.0,6894
17238,1.24,5,G,SI1,61.0,56.4,6895
17239,1.16,5,E,SI1,61.9,57.0,6896
17240,1.52,2,J,SI1,63.6,60.0,6897
17241,1.6,4,F,SI2,61.8,57.0,6899
17242,1.0,4,F,VS2,60.7,58.0,6899
17243,1.01,4,F,VS2,59.2,61.0,6900
17244,1.55,5,E,SI2,62.3,55.0,6901
17245,1.03,5,F,VS2,62.0,57.0,6902
17246,1.07,4,G,VS2,61.9,58.0,6903
17247,1.34,5,H,SI2,61.6,56.0,6904
17248,1.01,3,D,VS2,62.2,61.0,6905
17249,1.01,3,D,VS2,60.4,58.0,6905
17250,1.01,3,G,VS1,63.6,57.0,6905
17251,1.09,5,G,VS2,62.0,54.0,6905
17252,1.52,1,I,SI2,64.7,58.0,6905
17253,1.02,3,G,VS2,60.5,60.0,6906
17254,1.09,4,G,VS2,61.0,59.0,6906
17255,1.21,2,G,VS2,63.7,59.0,6906
17256,1.04,4,F,VS2,61.7,59.0,6906
17257,1.01,5,F,SI1,62.0,56.0,6907
17258,1.04,4,F,VS2,61.9,58.0,6908
17259,1.02,4,D,VS2,59.8,61.0,6909
17260,1.23,4,G,SI1,62.5,59.0,6909
17261,1.02,3,D,VS2,63.4,54.0,6909
17262,1.0,3,F,VS1,60.1,63.0,6910
17263,1.02,3,F,VS2,62.8,57.0,6911
17264,1.19,5,E,SI1,61.3,57.0,6911
17265,1.01,2,D,VS2,61.8,59.0,6912
17266,1.65,4,G,I1,62.0,59.0,6912
17267,1.03,5,G,VS1,62.0,54.8,6913
17268,1.05,5,G,VS2,59.4,59.0,6914
17269,1.51,3,I,SI2,63.2,58.0,6914
17270,1.02,3,E,VS2,60.0,59.0,6915
17271,1.04,3,D,VS1,60.8,58.0,6915
17272,1.61,3,G,SI2,63.4,55.0,6915
17273,1.26,4,F,SI1,62.3,58.0,6915
17274,1.31,3,I,VS2,61.2,58.0,6917
17275,1.07,5,G,VS1,61.8,57.0,6917
17276,1.15,4,H,VVS2,58.8,58.0,6917
17277,1.12,5,G,VS1,62.3,57.0,6918
17278,1.29,5,J,VVS1,61.2,56.0,6918
17279,1.31,4,I,VS2,62.4,61.0,6921
17280,1.31,4,I,VS2,60.0,58.0,6921
17281,1.26,5,F,SI1,60.6,56.0,6922
17282,1.5,1,E,SI2,64.8,55.0,6922
17283,1.03,5,F,VS2,62.3,56.0,6922
17284,1.03,4,E,VS2,62.9,61.0,6922
17285,1.03,5,F,VS2,61.2,54.0,6922
17286,1.01,4,F,VS2,61.4,57.0,6923
17287,1.12,3,F,VS2,62.0,58.0,6925
17288,1.12,2,F,VS2,63.8,57.0,6925
17289,1.14,5,H,VS1,61.9,53.0,6926
17290,1.0,3,F,VS2,61.9,58.0,6927
17291,1.73,5,J,SI1,62.6,57.0,6927
17292,1.3,5,G,VS1,62.4,56.0,6928
17293,1.15,3,E,VS2,62.9,56.0,6929
17294,1.05,4,E,VS2,62.1,58.0,6930
17295,1.03,3,G,VS2,61.0,58.0,6931
17296,1.08,5,G,VS2,61.8,55.0,6931
17297,1.3,4,I,VS1,62.2,59.0,6931
17298,1.3,5,I,VS1,62.1,57.0,6931
17299,1.22,4,F,SI1,62.5,59.0,6932
17300,1.01,4,G,VS1,60.7,58.0,6932
17301,1.01,2,F,VVS2,63.6,60.0,6932
17302,1.05,5,F,VS2,62.8,57.0,6933
17303,1.09,5,G,VS1,62.4,57.0,6934
17304,1.22,4,H,VS2,62.4,58.0,6934
17305,1.51,5,D,SI2,61.2,56.0,6934
17306,1.29,4,D,SI2,59.4,62.0,6935
17307,1.51,2,J,VS2,64.0,58.0,6936
17308,1.05,5,G,VS1,62.0,56.0,6936
17309,1.05,4,G,VS1,61.6,58.0,6936
17310,1.01,3,G,VS1,63.1,57.0,6936
17311,1.28,4,D,SI2,61.2,58.0,6936
17312,1.0,3,D,VS2,61.2,60.0,6937
17313,1.19,2,E,VS2,57.4,60.0,6937
17314,1.01,5,G,VS2,62.7,54.0,6937
17315,1.1,5,G,VS2,60.9,56.0,6939
17316,1.51,3,J,SI1,62.9,59.0,6942
17317,1.15,4,D,SI1,63.0,57.0,6942
17318,1.01,3,F,VS2,60.5,59.0,6944
17319,1.25,5,H,VS2,60.0,56.0,6944
17320,1.19,4,H,VS2,61.1,58.0,6944
17321,1.06,5,I,VVS1,60.2,57.0,6945
17322,1.28,4,H,SI1,62.3,58.0,6946
17323,1.06,4,F,VS2,62.2,57.0,6947
17324,1.22,5,H,VS2,61.4,57.0,6947
17325,1.1,3,G,VS1,60.3,62.0,6951
17326,0.95,5,G,IF,59.8,59.0,6951
17327,1.09,4,G,VS1,62.5,59.0,6951
17328,1.01,5,G,VS1,62.7,56.0,6951
17329,1.01,5,G,VS1,62.4,58.0,6951
17330,1.11,3,G,VS2,62.2,57.0,6953
17331,1.16,5,H,VS2,62.1,57.0,6954
17332,1.2,3,F,SI1,63.3,58.0,6955
17333,1.04,5,G,VS2,60.5,57.0,6955
17334,1.15,4,G,VS2,62.9,58.0,6955
17335,1.01,3,E,VS2,62.6,59.0,6956
17336,1.2,5,H,VS2,62.2,55.0,6956
17337,1.01,5,E,VS2,61.4,57.0,6956
17338,1.0,3,F,VS2,62.8,57.0,6957
17339,1.23,4,H,VS2,62.4,61.0,6957
17340,1.21,5,G,SI1,62.1,57.0,6958
17341,1.0,2,E,VS2,58.2,60.0,6958
17342,1.24,5,H,SI1,61.6,57.0,6958
17343,1.18,5,G,SI1,62.0,56.0,6960
17344,1.35,3,I,VS2,62.1,62.0,6961
17345,1.08,5,H,VVS1,62.5,54.0,6961
17346,1.72,3,F,I1,60.5,59.0,6962
17347,1.12,5,H,SI1,61.6,56.0,6962
17348,1.11,5,H,VVS2,61.4,57.0,6962
17349,1.24,4,H,VS2,61.7,59.0,6962
17350,1.22,3,G,VS2,63.1,56.0,6962
17351,1.11,4,D,SI1,62.0,58.0,6962
17352,1.33,4,I,VS1,61.5,58.0,6963
17353,1.33,2,I,VS1,63.7,56.0,6963
17354,1.33,4,E,SI2,62.5,58.0,6963
17355,1.21,4,E,SI1,62.3,58.0,6963
17356,1.01,5,G,VS2,62.6,56.0,6964
17357,1.24,4,D,SI2,61.4,59.0,6965
17358,1.56,2,J,VS2,57.6,65.0,6966
17359,1.55,5,J,SI2,62.3,54.0,6966
17360,1.01,4,G,VVS2,60.9,59.0,6968
17361,1.01,5,E,VS2,61.3,57.0,6968
17362,1.02,5,G,VS1,62.0,55.0,6968
17363,1.2,5,H,SI1,61.1,56.0,6968
17364,1.01,3,G,VVS2,63.4,55.0,6968
17365,1.01,2,E,VS2,63.9,59.0,6968
17366,1.73,4,H,SI2,60.5,60.0,6968
17367,1.01,4,E,VS2,62.2,58.0,6968
17368,1.22,4,G,SI2,62.4,61.0,6969
17369,1.39,2,F,SI2,63.8,55.0,6969
17370,0.32,5,D,SI2,61.7,55.0,612
17371,0.32,5,D,SI2,59.5,57.0,612
17372,0.32,2,D,SI2,63.9,58.0,612
17373,0.32,4,G,SI1,62.8,56.0,612
17374,0.34,4,I,VS2,62.1,57.0,612
17375,0.34,4,I,VS2,61.8,58.0,612
17376,0.34,4,H,SI1,60.2,58.0,612
17377,0.34,4,H,SI1,62.1,59.0,612
17378,0.34,5,E,SI2,62.4,57.0,612
17379,0.34,4,E,SI2,59.9,59.0,612
17380,0.34,4,E,SI2,61.7,58.0,612
17381,0.34,4,E,SI2,61.5,58.0,612
17382,0.34,4,E,SI2,62.4,59.0,612
17383,0.34,4,E,SI2,62.5,59.0,612
17384,0.34,2,E,SI2,63.7,55.0,612
17385,0.34,5,E,SI2,62.9,56.0,612
17386,0.32,4,G,SI1,62.5,58.0,612
17387,0.32,4,G,SI1,60.9,58.0,612
17388,0.32,5,G,SI1,61.3,57.0,612
17389,0.32,5,G,SI1,62.5,55.0,612
17390,0.32,5,D,SI2,61.8,55.0,612
17391,0.32,5,D,SI2,61.1,56.0,612
17392,0.32,5,D,SI2,59.8,57.0,612
17393,0.32,2,D,SI2,63.7,56.0,612
17394,0.32,5,D,SI2,62.8,57.0,612
17395,0.32,5,D,SI2,62.4,54.0,612
17396,0.32,5,D,SI2,62.6,56.0,612
17397,0.34,4,E,SI1,59.3,58.0,612
17398,0.32,5,G,SI1,61.4,57.0,612
17399,0.32,5,G,SI1,61.6,57.0,612
17400,1.2,2,E,SI1,64.0,61.0,6969
17401,1.22,4,D,SI2,61.9,60.0,6969
17402,1.09,5,H,SI1,61.4,56.0,6970
17403,1.71,2,F,SI2,63.7,54.0,6971
17404,1.56,4,F,SI2,63.0,58.0,6971
17405,1.1,5,G,VS2,60.2,56.0,6972
17406,1.21,3,H,VS1,63.4,55.0,6973
17407,1.2,3,F,SI1,62.7,58.0,6973
17408,1.36,5,J,VVS2,61.9,56.0,6973
17409,1.02,3,D,VS2,62.7,58.0,6974
17410,1.03,4,D,VS1,59.6,61.0,6974
17411,1.21,4,H,VS2,59.3,60.0,6974
17412,1.01,3,G,VVS2,63.3,57.0,6975
17413,1.51,4,J,SI1,61.2,62.0,6976
17414,1.51,3,J,SI1,63.5,58.0,6976
17415,1.51,1,J,SI1,63.4,60.0,6976
17416,1.5,4,H,SI2,61.2,61.0,6979
17417,1.45,3,J,VS2,62.6,58.0,6980
17418,1.13,5,I,VS1,61.9,55.0,6980
17419,1.13,5,I,VS1,61.8,57.0,6980
17420,1.05,5,G,VS2,61.6,59.0,6981
17421,1.03,5,G,VS2,61.3,57.0,6981
17422,1.06,5,D,VS2,62.5,54.0,6981
17423,1.52,2,J,VS2,63.1,61.0,6982
17424,1.08,4,G,VS1,62.9,55.0,6982
17425,1.08,4,G,VS1,62.7,56.0,6982
17426,1.11,5,G,VS2,61.2,56.0,6982
17427,1.1,5,G,VS1,61.5,57.0,6984
17428,1.2,3,F,SI1,61.9,58.0,6985
17429,1.5,3,J,SI1,62.5,58.0,6987
17430,1.1,3,F,VS2,61.1,57.0,6987
17431,1.5,3,J,SI1,62.7,58.0,6987
17432,1.29,4,H,VS2,62.4,57.0,6987
17433,1.41,4,D,SI2,61.1,56.0,6988
17434,1.0,4,G,VS1,62.9,60.0,6989
17435,1.23,5,I,VVS1,62.1,57.0,6989
17436,1.0,4,G,VS1,58.6,61.0,6989
17437,1.0,5,E,VS2,61.5,55.0,6989
17438,1.09,3,F,VS2,61.4,54.0,6990
17439,1.58,4,F,SI2,60.7,60.0,6990
17440,1.24,5,G,SI1,60.5,60.0,6994
17441,1.01,3,E,VS1,62.0,57.0,6996
17442,1.56,3,J,SI2,58.3,63.0,6996
17443,1.4,2,H,SI2,62.5,57.0,6996
17444,1.04,4,G,VS1,62.0,56.0,6996
17445,1.01,3,E,VS1,62.1,58.0,6997
17446,1.23,3,H,SI1,60.3,58.0,6997
17447,1.07,3,G,VS1,60.9,55.0,6998
17448,1.01,2,D,VS2,62.1,59.0,6998
17449,1.31,5,I,VS2,61.7,55.0,6999
17450,1.01,3,F,VS1,62.8,58.0,6999
17451,1.01,5,D,VS2,59.8,56.0,6999
17452,1.01,2,F,VS1,63.3,60.0,6999
17453,1.01,4,F,VS1,61.3,58.0,6999
17454,1.01,2,D,VS2,63.1,60.0,6999
17455,1.24,4,F,SI1,61.6,59.0,7000
17456,1.26,3,G,SI1,63.2,61.0,7000
17457,1.01,3,D,VS2,60.6,56.0,7001
17458,1.01,3,F,VS1,63.7,56.0,7001
17459,1.01,2,F,VVS2,65.9,54.0,7001
17460,1.3,4,D,SI2,60.2,59.0,7002
17461,1.0,3,E,VS1,61.2,57.0,7002
17462,1.21,5,I,VVS2,62.7,56.0,7002
17463,1.06,3,G,VS1,62.0,58.0,7003
17464,1.16,4,F,VS2,62.7,58.0,7003
17465,1.27,4,G,SI1,61.4,59.0,7005
17466,2.23,3,G,I1,63.5,57.0,7006
17467,0.91,4,E,VVS2,61.1,61.0,7006
17468,1.39,4,H,VS2,62.5,59.0,7006
17469,1.0,2,G,VVS1,63.8,60.0,7007
17470,1.05,3,G,VS1,62.3,56.0,7010
17471,1.01,5,E,VS2,61.9,57.0,7013
17472,1.01,5,F,VS2,61.9,54.0,7014
17473,1.04,5,F,VS1,61.4,57.0,7015
17474,1.34,5,I,VS1,62.2,57.0,7016
17475,1.0,2,F,VVS2,56.5,63.0,7016
17476,1.13,5,G,VS2,62.7,56.0,7016
17477,1.01,4,F,VS1,60.8,59.0,7017
17478,1.2,5,E,SI2,62.0,57.0,7018
17479,1.51,4,H,SI2,62.3,62.0,7018
17480,1.04,4,E,VS2,62.4,58.0,7019
17481,2.11,1,F,I1,67.6,57.0,7019
17482,1.01,3,G,VS1,63.6,57.0,7021
17483,1.1,4,G,VS2,59.4,60.0,7022
17484,1.52,2,J,SI1,63.6,60.0,7022
17485,1.27,5,E,SI2,60.8,57.0,7023
17486,2.01,2,H,I1,63.9,59.0,7024
17487,1.05,4,F,VS2,62.6,58.0,7025
17488,1.28,5,I,VS1,61.3,57.0,7025
17489,2.05,2,G,I1,56.9,58.0,7026
17490,1.0,2,D,VS2,60.7,61.0,7026
17491,1.02,5,F,VS2,62.0,57.0,7026
17492,1.05,5,G,VS1,61.3,57.0,7027
17493,1.05,5,G,VS2,61.7,57.0,7028
17494,1.27,3,I,VS1,60.6,59.0,7031
17495,1.01,4,D,VS2,60.4,58.0,7032
17496,1.01,4,D,VS2,62.2,61.0,7032
17497,1.15,4,G,VS1,63.0,60.0,7032
17498,1.09,4,G,VS2,61.0,59.0,7032
17499,1.51,4,J,SI1,62.3,58.0,7034
17500,1.04,5,F,VS2,60.1,59.0,7035
17501,1.29,5,H,SI1,62.1,55.0,7036
17502,1.02,5,F,VS2,62.8,57.0,7037
17503,1.01,3,F,VS2,61.1,58.0,7037
17504,1.21,5,I,VS1,61.8,56.0,7037
17505,1.05,5,G,VS1,62.5,56.0,7037
17506,1.32,5,E,SI2,62.7,56.0,7037
17507,1.19,5,E,SI1,61.3,57.0,7037
17508,1.14,5,I,VS1,61.1,56.0,7038
17509,1.01,3,E,VS1,62.2,56.0,7039
17510,1.15,3,H,VS1,62.5,56.0,7040
17511,1.04,4,D,VS1,60.8,58.0,7041
17512,1.14,2,G,VS1,63.4,58.0,7042
17513,1.14,5,G,VS2,61.5,57.0,7042
17514,1.25,5,I,VS1,61.4,58.0,7042
17515,1.04,5,G,VS2,61.3,57.0,7044
17516,1.3,4,D,SI2,61.5,58.0,7044
17517,1.04,4,E,VS2,61.1,59.0,7047
17518,1.21,2,G,VS2,64.1,58.0,7047
17519,1.21,5,H,VS1,60.5,57.0,7047
17520,1.04,2,G,VS1,63.8,57.0,7049
17521,1.04,3,G,VS1,61.8,58.0,7049
17522,1.24,3,H,SI1,60.8,60.0,7050
17523,1.12,2,F,VS2,63.8,57.0,7051
17524,1.3,5,H,SI1,62.2,56.0,7054
17525,1.11,4,G,VS2,61.5,58.0,7055
17526,1.09,5,H,VVS1,61.4,56.0,7055
17527,1.02,5,G,VS1,61.4,57.0,7055
17528,1.26,4,H,SI1,61.3,57.0,7056
17529,1.5,1,F,SI2,64.7,59.0,7056
17530,1.0,4,F,VS1,62.0,59.0,7056
17531,1.0,4,F,VS1,59.2,60.0,7056
17532,1.0,4,F,VS1,59.2,60.0,7056
17533,1.0,4,F,VS1,62.7,55.0,7056
17534,1.01,5,F,VS1,61.7,59.0,7056
17535,1.05,4,E,VS2,62.1,58.0,7056
17536,1.5,1,F,SI2,65.3,57.0,7056
17537,1.0,5,F,VS1,61.7,55.0,7056
17538,1.5,4,F,SI2,62.4,58.0,7056
17539,1.5,4,I,SI2,62.2,61.0,7056
17540,1.34,5,G,SI2,61.1,56.0,7058
17541,1.01,5,G,VS1,59.1,55.0,7059
17542,1.32,5,I,VS2,61.7,59.0,7059
17543,1.14,5,H,VS2,62.0,55.0,7059
17544,1.01,2,F,VVS2,63.6,60.0,7059
17545,1.22,4,F,SI1,62.5,59.0,7059
17546,1.01,4,G,VS1,60.7,58.0,7059
17547,1.01,4,F,VS2,62.5,59.0,7062
17548,1.51,2,J,VS2,64.0,58.0,7062
17549,1.05,4,G,VS1,61.6,58.0,7063
17550,1.05,5,G,VS1,62.0,56.0,7063
17551,1.03,5,G,VS2,61.6,55.0,7064
17552,1.19,2,E,VS2,57.4,60.0,7064
17553,1.13,5,D,SI1,61.4,56.0,7066
17554,1.55,3,H,SI1,63.2,57.0,7066
17555,1.55,3,H,SI1,63.2,57.0,7066
17556,1.02,2,F,VS1,63.7,57.0,7068
17557,1.7,5,H,I1,62.6,54.1,7068
17558,1.01,4,G,VVS2,61.2,59.0,7068
17559,1.07,5,G,VS1,61.8,55.0,7069
17560,2.25,1,G,I1,64.9,58.0,7069
17561,1.05,5,G,VS2,62.2,54.0,7070
17562,1.0,4,F,VS2,59.0,59.0,7072
17563,1.2,3,H,VS2,62.5,60.0,7072
17564,1.62,3,J,SI2,61.6,60.0,7072
17565,1.2,5,H,VS2,62.8,57.0,7072
17566,1.2,5,H,VS2,61.2,59.0,7072
17567,1.16,5,G,VS2,62.3,57.0,7074
17568,1.16,4,G,VS2,59.9,60.0,7074
17569,1.1,5,G,VS2,62.5,54.0,7074
17570,1.2,5,E,SI1,62.3,55.0,7074
17571,1.06,5,F,VS2,61.0,57.0,7075
17572,1.17,3,G,VS2,63.2,57.0,7076
17573,1.08,1,G,VS1,64.7,60.0,7076
17574,1.5,4,D,SI2,59.6,59.0,7076
17575,1.02,5,G,VS1,61.1,56.0,7077
17576,1.02,5,F,VS2,62.0,55.0,7078
17577,1.09,5,G,VS1,60.5,57.0,7078
17578,1.06,3,E,VS2,61.0,60.0,7079
17579,1.32,5,I,VS2,60.8,57.0,7079
17580,1.01,3,F,VS1,62.5,60.0,7079
17581,1.2,5,I,VVS2,62.9,55.0,7079
17582,1.14,5,H,SI1,61.8,56.0,7079
17583,1.14,5,H,SI1,61.6,56.0,7079
17584,1.14,5,H,SI1,61.5,55.0,7079
17585,1.14,4,G,VS2,60.9,57.0,7079
17586,1.32,5,F,SI1,61.6,56.0,7079
17587,1.08,4,F,VS2,62.8,59.0,7079
17588,1.14,4,G,VS2,61.4,60.0,7079
17589,1.2,3,I,VVS1,62.6,56.0,7080
17590,1.29,5,G,VS2,62.9,57.0,7080
17591,1.59,1,I,SI2,65.2,58.0,7080
17592,1.09,5,G,VS2,62.4,55.0,7081
17593,1.0,1,D,VS1,55.9,60.0,7083
17594,1.0,2,E,VVS1,64.1,62.0,7084
17595,1.4,5,H,SI2,61.2,56.0,7084
17596,1.22,5,E,SI1,61.7,56.0,7085
17597,1.21,5,I,VVS1,61.6,55.0,7086
17598,1.48,4,I,SI2,61.3,58.0,7086
17599,1.3,3,I,VS2,61.8,56.0,7087
17600,1.18,5,D,SI1,61.9,55.0,7087
17601,1.33,5,H,SI1,62.7,56.0,7088
17602,1.21,5,E,SI1,62.3,56.0,7088
17603,1.72,4,F,I1,60.5,59.0,7089
17604,1.23,4,H,VS2,62.9,57.0,7089
17605,1.33,4,I,VS1,61.5,58.0,7090
17606,1.33,2,I,VS1,63.7,56.0,7090
17607,1.33,4,E,SI2,62.5,58.0,7090
17608,1.12,5,H,VVS2,62.3,53.0,7091
17609,1.02,5,F,VS1,60.7,56.0,7091
17610,1.24,4,H,VS1,62.2,59.0,7092
17611,1.24,3,H,VS1,62.6,54.0,7092
17612,1.3,3,H,VS2,62.5,59.0,7092
17613,1.13,3,F,VS1,61.6,58.0,7092
17614,1.18,3,D,SI1,61.7,57.0,7093
17615,1.01,3,E,VS2,60.4,60.0,7094
17616,1.21,4,H,VS1,62.3,58.0,7094
17617,1.01,3,E,VS1,60.9,55.0,7094
17618,1.56,2,J,VS2,57.6,65.0,7094
17619,1.16,1,F,VS1,57.8,67.0,7094
17620,1.38,5,G,SI2,61.4,55.0,7094
17621,1.15,5,I,VS1,61.7,56.0,7096
17622,1.0,4,E,VS1,63.0,60.0,7096
17623,1.2,2,E,SI1,64.0,61.0,7096
17624,1.39,2,F,SI2,63.8,55.0,7096
17625,1.01,3,F,VS2,62.1,57.0,7098
17626,1.5,3,G,SI2,63.2,58.0,7098
17627,1.5,4,G,SI2,62.1,60.0,7098
17628,1.5,1,H,SI2,59.3,58.0,7098
17629,1.28,5,H,VS2,62.3,56.0,7098
17630,1.28,4,H,VS2,61.2,60.0,7098
17631,1.14,5,G,VS2,60.5,60.0,7099
17632,1.63,5,F,I1,62.0,55.1,7100
17633,1.15,5,H,SI1,61.6,55.0,7100
17634,1.02,4,D,VS2,62.7,58.0,7101
17635,1.03,3,D,VS2,63.3,57.0,7102
17636,1.29,2,I,VS2,57.9,61.0,7102
17637,1.51,5,G,SI2,61.8,57.0,7103
17638,1.36,4,I,VS2,61.9,56.0,7104
17639,1.22,4,H,VS1,62.7,56.0,7105
17640,1.24,3,G,SI1,61.8,58.0,7106
17641,1.14,3,D,SI1,60.2,60.0,7106
17642,1.41,4,H,SI2,59.1,57.0,7106
17643,1.01,3,F,VS1,63.2,58.0,7107
17644,1.31,3,G,SI2,62.2,58.0,7107
17645,1.13,5,H,VVS2,59.7,59.0,7108
17646,1.52,5,G,SI2,61.9,57.0,7108
17647,1.11,5,G,VS2,61.7,56.0,7109
17648,1.52,3,J,VS2,63.1,61.0,7109
17649,1.28,5,H,SI1,61.8,57.0,7109
17650,1.08,5,F,VS2,61.9,55.0,7110
17651,1.21,5,I,VS1,61.7,53.0,7111
17652,1.1,5,G,VS1,61.5,57.0,7111
17653,1.21,3,H,VS2,59.1,59.0,7113
17654,1.16,5,G,VS2,61.7,57.0,7113
17655,1.0,2,D,VS2,63.1,56.0,7114
17656,1.2,3,F,VS2,62.4,58.0,7114
17657,1.0,4,F,VS1,62.6,58.0,7114
17658,1.0,5,G,VS1,62.7,53.0,7114
17659,1.1,4,F,VS2,61.1,57.0,7115
17660,1.23,5,I,VVS1,62.1,57.0,7117
17661,1.07,3,F,VS1,62.0,58.0,7118
17662,1.02,5,D,VS1,62.7,55.0,7118
17663,1.32,3,H,SI1,62.4,58.0,7119
17664,1.03,5,G,VS1,62.0,57.0,7119
17665,1.03,5,G,VS1,61.7,54.0,7119
17666,0.94,5,F,VS2,61.2,57.0,7120
17667,1.01,5,F,VS1,62.2,57.0,7122
17668,1.06,4,E,VS2,61.4,60.0,7123
17669,1.59,4,F,SI2,62.2,58.0,7123
17670,1.15,5,H,VS1,62.7,57.0,7123
17671,1.32,3,I,VS2,60.5,59.0,7125
17672,1.51,3,J,SI1,60.6,57.0,7125
17673,1.27,3,H,SI1,62.3,58.0,7125
17674,1.29,5,F,SI2,61.9,55.0,7126
17675,1.01,4,F,VS1,61.3,58.0,7127
17676,1.01,3,F,VS1,63.3,60.0,7127
17677,1.01,5,D,VS2,59.8,56.0,7127
17678,1.01,2,E,VS1,63.8,60.0,7127
17679,1.01,3,D,VS2,63.1,60.0,7127
17680,1.01,4,F,VS1,62.4,61.0,7127
17681,1.44,3,H,SI2,58.2,61.0,7128
17682,1.16,5,G,VS2,60.7,58.0,7128
17683,1.02,4,G,VS1,61.0,61.0,7129
17684,1.02,5,G,VS1,61.6,55.0,7129
17685,1.23,5,H,VS2,62.2,55.0,7130
17686,1.06,4,G,VS1,62.0,58.0,7130
17687,1.06,4,G,VS1,62.8,56.0,7130
17688,1.3,4,D,SI2,60.2,59.0,7130
17689,1.19,4,G,VS2,62.3,58.0,7130
17690,0.91,3,E,VVS2,61.1,61.0,7131
17691,2.27,1,G,I1,68.6,56.0,7131
17692,1.06,3,G,VS1,61.7,57.0,7132
17693,1.27,4,G,SI1,61.4,59.0,7133
